original_candidate_id,recovery_candidate_id,selected_function_id,project,function_name,producer,build_view,original_failure_reason,recovery_eligibility,recovery_reason,clang_fix_required,llm4decompile_fix_required,clang_recovery_status,llm4decompile_recovery_status
phase3a::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::mycodex_api::clang_O2::6fd9067d038c,phase3ar::zstd_lib_legacy_zstd_v07.c_FSEv07_abs_0001_99911172ff45::mycodex_api::clang_O2::0b077caca25e,zstd::lib_legacy_zstd_v07.c::FSEv07_abs::0001::99911172ff45,zstd,FSEv07_abs,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::llm4decompile::gcc_O0::38a63c963bde,phase3ar::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::llm4decompile::gcc_O0::3c954930760e,zstd::lib_legacy_zstd_v06.c::FSEv06_abs::0001::5b4b5ea74745,zstd,FSEv06_abs,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::ghidra::clang_O2::67ff58b65d9e,phase3ar::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::ghidra::clang_O2::ea8576cb0063,zstd::lib_legacy_zstd_v06.c::FSEv06_abs::0001::5b4b5ea74745,zstd,FSEv06_abs,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::angr::clang_O2::6a026b0371fd,phase3ar::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::angr::clang_O2::dfeed0c011aa,zstd::lib_legacy_zstd_v06.c::FSEv06_abs::0001::5b4b5ea74745,zstd,FSEv06_abs,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::llm4decompile::clang_O2::56f98c5e3eb4,phase3ar::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::llm4decompile::clang_O2::6d2203f35d5a,zstd::lib_legacy_zstd_v06.c::FSEv06_abs::0001::5b4b5ea74745,zstd,FSEv06_abs,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::mycodex_api::clang_O2::d00c8d8762f3,phase3ar::zstd_lib_legacy_zstd_v06.c_FSEv06_abs_0001_5b4b5ea74745::mycodex_api::clang_O2::331dd54bfe1d,zstd::lib_legacy_zstd_v06.c::FSEv06_abs::0001::5b4b5ea74745,zstd,FSEv06_abs,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::llm4decompile::gcc_O0::e70b9b7e8623,phase3ar::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::llm4decompile::gcc_O0::69f477d7b436,zstd::programs_benchzstd.c::uintSize::0001::0ff5b2068d53,zstd,uintSize,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::ghidra::clang_O2::82f46fca904e,phase3ar::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::ghidra::clang_O2::71f50676905d,zstd::programs_benchzstd.c::uintSize::0001::0ff5b2068d53,zstd,uintSize,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::angr::clang_O2::6a0aa1a4eaef,phase3ar::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::angr::clang_O2::8507a71c4ceb,zstd::programs_benchzstd.c::uintSize::0001::0ff5b2068d53,zstd,uintSize,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::llm4decompile::clang_O2::e789b59c059a,phase3ar::zstd_programs_benchzstd.c_uintSize_0001_0ff5b2068d53::llm4decompile::clang_O2::5a0d7c405029,zstd::programs_benchzstd.c::uintSize::0001::0ff5b2068d53,zstd,uintSize,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
