policy,budget,scope,denominator,detected,detection_rate,median_first_witness_rank,unexpected_in_domain_mismatch_count,source
source_literal_char_interleave,2,controlled_primary_fixture_passing_wrong,37,25.0,0.6756756756756757,1.0,0,reused_phase1
source_literal_char_interleave,2,controlled_low_density_fixture_passing_wrong,16,8.0,0.5,2.0,0,reused_phase1
source_literal_char_interleave,4,controlled_primary_fixture_passing_wrong,37,30.0,0.8108108108108109,1.5,0,reused_phase1
source_literal_char_interleave,4,controlled_low_density_fixture_passing_wrong,16,13.0,0.8125,2.0,0,reused_phase1
source_literal_char_interleave,8,controlled_primary_fixture_passing_wrong,37,33.0,0.8918918918918919,2.0,0,reused_phase1
source_literal_char_interleave,8,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,2.0,0,reused_phase1
source_literal_char_interleave,16,controlled_primary_fixture_passing_wrong,37,34.0,0.918918918918919,2.0,0,reused_phase1
source_literal_char_interleave,16,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,2.0,0,reused_phase1
source_literal_char_interleave,32,controlled_primary_fixture_passing_wrong,37,34.0,0.918918918918919,2.0,0,reused_phase1
source_literal_char_interleave,32,controlled_low_density_fixture_passing_wrong,16,14.0,0.875,2.0,0,reused_phase1
fixture_neighbor_only,1,controlled_primary_fixture_passing_wrong,37,15.0,0.40540540540540543,1.0,0,reused_phase1
fixture_neighbor_only,1,controlled_low_density_fixture_passing_wrong,16,2.0,0.125,1.0,0,reused_phase1
fixture_neighbor_only,2,controlled_primary_fixture_passing_wrong,37,19.0,0.5135135135135135,1.0,0,reused_phase1
fixture_neighbor_only,2,controlled_low_density_fixture_passing_wrong,16,2.0,0.125,1.0,0,reused_phase1
fixture_neighbor_only,4,controlled_primary_fixture_passing_wrong,37,22.0,0.5945945945945946,1.0,0,reused_phase1
fixture_neighbor_only,4,controlled_low_density_fixture_passing_wrong,16,5.0,0.3125,3.0,0,reused_phase1
fixture_neighbor_only,8,controlled_primary_fixture_passing_wrong,37,25.0,0.6756756756756757,1.0,0,reused_phase1
fixture_neighbor_only,8,controlled_low_density_fixture_passing_wrong,16,6.0,0.375,3.0,0,reused_phase1
fixture_neighbor_only,16,controlled_primary_fixture_passing_wrong,37,26.0,0.7027027027027027,1.0,0,reused_phase1
